zip,avg_listing,med_sales,tru_pop
11201,"$3,079,046 ","$1,137,500 ",7
11231,"$2,302,589 ","$1,420,000 ",21
11217,"$2,101,319 ","$1,135,265 ",24
11215,"$1,794,393 ","$1,266,698 ",5
11249,"$1,769,161 ","$1,250,000 ",34
11238,"$1,670,150 ","$1,115,000 ",9
11225,"$1,639,333 ","$1,510,000 ",33
11211,"$1,600,262 ","$892,833 ",10
11237,"$1,579,363 ","$870,000 ",37
11243,"$1,425,000 ","$1,725,000 ",39
11222,"$1,420,251 ","$1,005,000 ",25
11218,"$1,307,076 ","$1,047,500 ",18
11206,"$1,299,024 ","$570,000 ",32
11216,"$1,293,981 ","$697,501 ",23
11209,"$1,280,818 ","$1,050,000 ",4
11205,"$1,225,371 ","$912,500 ",30
11221,"$1,223,034 ","$735,000 ",20
11232,"$1,219,399 ","$820,000 ",35
11228,"$1,168,317 ","$890,000 ",19
11204,"$1,083,784 ","$745,000 ",28
11220,"$1,078,309 ","$900,000 ",26
11219,"$1,066,775 ","$682,228 ",36
11226,"$1,033,409 ","$955,000 ",12
11233,"$1,002,346 ","$728,500 ",17
11223,"$945,162 ","$810,000 ",22
11230,"$939,411 ","$906,250 ",11
11234,"$897,469 ","$626,000 ",1
11235,"$897,330 ","$675,000 ",2
11213,"$856,052 ","$700,000 ",27
11210,"$820,796 ","$840,000 ",16
11214,"$806,530 ","$560,000 ",13
11229,"$787,168 ","$735,000 ",3
11224,"$726,982 ","$515,000 ",29
11207,"$709,886 ","$395,500 ",15
11203,"$668,375 ","$485,000 ",14
11208,"$667,482 ","$402,000 ",8
11212,"$532,810 ","$449,000 ",31
11236,"$445,673 ","$419,000 ",6
11239,"$396,995 ",-,38
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
