zip,avg_listing,med_sales,tru_pop
11106,"$2,231,288 ",-,38
11109,"$1,585,105 ","$2,400,000 ",54
11363,"$1,542,419 ",-,58
11357,"$1,304,056 ","$840,000 ",7
11101,"$1,275,552 ","$1,100,000 ",22
11362,"$1,222,486 ","$790,000 ",48
11375,"$1,177,685 ","$925,000 ",1
11432,"$1,163,223 ","$695,000 ",11
11366,"$1,094,896 ","$855,000 ",56
11102,"$1,055,414 ",-,51
11365,"$1,040,791 ","$827,500 ",43
11415,"$1,040,055 ","$1,325,000 ",18
11361,"$1,036,746 ","$820,000 ",15
11360,"$1,024,936 ","$695,000 ",40
11358,"$1,020,002 ","$840,000 ",35
11385,"$993,255 ","$660,000 ",2
11354,"$978,843 ","$721,921 ",21
11694,"$978,774 ",-,57
11103,"$953,111 ",-,50
11364,"$923,497 ","$848,000 ",10
11356,"$909,857 ","$642,500 ",49
11355,"$887,871 ","$651,500 ",45
11004,"$880,357 ","$600,000 ",59
11377,"$833,764 ","$680,000 ",3
11427,"$809,617 ","$525,000 ",33
11423,"$787,701 ","$552,500 ",26
11697,"$787,499 ",-,61
11367,"$783,866 ","$712,500 ",20
11378,"$782,000 ","$669,000 ",30
11379,"$779,337 ","$700,000 ",12
11372,"$767,090 ","$402,500 ",6
11369,"$745,468 ",-,29
11370,"$741,371 ","$430,000 ",47
11105,"$713,676 ",-,42
11373,"$707,501 ","$496,000 ",14
11368,"$700,628 ","$492,500 ",31
11426,"$662,920 ",-,28
11418,"$659,343 ","$462,500 ",17
11374,"$643,967 ","$600,000 ",9
11416,"$636,352 ","$465,000 ",52
11001,"$635,879 ",-,8
11414,"$616,638 ","$580,500 ",5
11421,"$599,092 ","$530,000 ",16
11435,"$591,707 ","$460,000 ",4
11419,"$584,215 ",-,39
11691,"$583,102 ","$455,000 ",36
11417,"$569,586 ","$437,500 ",32
11428,"$549,787 ","$480,000 ",41
11104,"$542,951 ","$490,000 ",34
11420,"$529,807 ","$490,000 ",19
11413,"$490,351 ","$449,950 ",25
11429,"$488,005 ","$386,900 ",24
11411,"$486,960 ","$428,175 ",46
11422,"$483,618 ","$470,000 ",27
11433,"$473,134 ","$440,000 ",13
11434,"$470,271 ","$446,000 ",23
11412,"$463,368 ","$465,000 ",55
11436,"$428,460 ","$377,000 ",37
11003,"$426,936 ",-,63
11693,"$420,926 ","$215,000 ",44
11096,"$408,352 ",-,68
11692,"$355,998 ","$110,000 ",53
11005,-,-,60
