zip,avg_listing,med_sales,tru_pop
10303,"$384,178 ","$344,000 ",10
10302,"$438,160 ","$349,500 ",12
10310,"$464,533 ","$470,000 ",11
10314,"$532,460 ","$442,900 ",1
10308,"$558,288 ","$475,000 ",7
10305,"$577,272 ","$489,000 ",5
10312,"$598,893 ","$472,500 ",2
10306,"$632,412 ","$489,000 ",3
10309,"$697,374 ","$457,500 ",9
10301,"$791,916 ","$467,500 ",6
10307,"$792,338 ","$343,500 ",8
10304,"$977,173 ","$520,000 ",4
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
